fundo	parcela	lote	producto	dosis	volumen	area	toneladas
Mar Verde	PARCELA 25	L851	ROXICOP	2	1000	2.28	20.73522648
Mar Verde	PARCELA 25	L851	SBQ	2.4	1200	4.56	20.73522648
Mar Verde	PARCELA 25	L851	STRICTO	1	100	2.28	20.73522648
Mar Verde	PARCELA 25	L851	TACHIGAREN	2	100	2.28	20.73522648
Mar Verde	PARCELA 25	L851	X-CYTE	1.2	900	4.56	20.73522648
Mar Verde	PARCELA 25	L852	ACAPROX	3	2000	2.28	17.03873405
Mar Verde	PARCELA 25	L852	ACARISIL 110 SC	0.601	2000	2.28	17.03873405
Mar Verde	PARCELA 25	L852	ACIDO FOSFORICO 85%	0.15	2000	2.28	17.03873405
Mar Verde	PARCELA 25	L852	ALGASIL	1	1600	6.84	17.03873405
Mar Verde	PARCELA 25	L852	AMINOTERRA	3	1000	2.28	17.03873405
Mar Verde	PARCELA 25	L852	ARGENFRUT	18	1800	2.28	17.03873405
Mar Verde	PARCELA 25	L852	BAMECTIN	1.500666667	2000	6.84	17.03873405
Mar Verde	PARCELA 25	L852	BIOIL-S/ENHANCE	20	2000	2.28	17.03873405
Mar Verde	PARCELA 25	L852	BONUM	0.675	900	4.56	17.03873405
Mar Verde	PARCELA 25	L852	BTK-CROPS	4	2000	2.28	17.03873405
Mar Verde	PARCELA 25	L852	CALCI-B	3	800	2.28	17.03873405
Mar Verde	PARCELA 25	L852	CHUNGAR	1.8	1800	2.28	17.03873405
Mar Verde	PARCELA 25	L852	CLOSER 240 SC	0.6	2000	2.28	17.03873405
Mar Verde	PARCELA 25	L852	CROPS CANELA	1.520133333	1893.333333	15.96	17.03873405
Mar Verde	PARCELA 25	L852	CYFLUNIL	0.75	1000	2.28	17.03873405
Mar Verde	PARCELA 25	L852	DOGMA	0.5	800	2.28	17.03873405
Mar Verde	PARCELA 25	L852	EMACTIN 5% SG	0.80025	2000	4.56	17.03873405
Mar Verde	PARCELA 25	L852	EPINGLE 10 EC	2	2000	2.28	17.03873405
Mar Verde	PARCELA 25	L852	ESENFOL CaB ZINC	3	1000	2.28	17.03873405
Mar Verde	PARCELA 25	L852	FAST THRU	0.2638	1760.501	11.4	17.03873405
Mar Verde	PARCELA 25	L852	GF-120	1.6001	1403.796	7.98	17.03873405
Mar Verde	PARCELA 25	L852	GLADIADOR	1.9	1900	9.12	17.03873405
Mar Verde	PARCELA 25	L852	HIPOCLORITO SODIO 5%	0.074052632	1663.421579	20.52	17.03873405
Mar Verde	PARCELA 25	L852	KELPURA	3	600	2.28	17.03873405
Mar Verde	PARCELA 25	L852	KEYLATE BORO	2	1000	2.28	17.03873405
Mar Verde	PARCELA 25	L852	LICTHOR	4	100	6.84	17.03873405
Mar Verde	PARCELA 25	L852	MAXI COVER	0.20340625	1356.25	43.32	17.03873405
Mar Verde	PARCELA 25	L852	MICROCAT ZINC	0.6	1000	2.28	17.03873405
Mar Verde	PARCELA 25	L852	POTENSIL	2	2000.835	6.84	17.03873405
Mar Verde	PARCELA 25	L852	ROBUST 5 SC	3	600	2.28	17.03873405
Mar Verde	PARCELA 25	L852	ROXICOP	2	1000	2.28	17.03873405
Mar Verde	PARCELA 25	L852	TACHIGAREN	2	100	2.28	17.03873405
Mar Verde	PARCELA 25	L852	X-CYTE	1.2	880	6.84	17.03873405
Mar Verde	PARCELA 25	L853	ACAPROX	3	2000	2.28	19.28173136
Mar Verde	PARCELA 25	L853	ACARISIL 110 SC	0.601	2000	2.28	19.28173136
Mar Verde	PARCELA 25	L853	ACIDO FOSFORICO 85%	0.15	2000	2.28	19.28173136
Mar Verde	PARCELA 25	L853	ALGASIL	1	1600	6.84	19.28173136
Mar Verde	PARCELA 25	L853	AMINOTERRA	3	1000	2.28	19.28173136
Mar Verde	PARCELA 25	L853	ARGENFRUT	18	1800	2.28	19.28173136
Mar Verde	PARCELA 25	L853	BAMECTIN	1.500666667	2000	6.84	19.28173136
Mar Verde	PARCELA 25	L853	BIOIL-S/ENHANCE	20	2000	2.28	19.28173136
Mar Verde	PARCELA 25	L853	BONUM	0.675	900	4.56	19.28173136
Mar Verde	PARCELA 25	L853	BTK-CROPS	4	2000	2.28	19.28173136
Mar Verde	PARCELA 25	L853	CALCI-B	3	800	2.28	19.28173136
Mar Verde	PARCELA 25	L853	CHUNGAR	1.8	1800	2.28	19.28173136
Mar Verde	PARCELA 25	L853	CLOSER 240 SC	0.6	2000	2.28	19.28173136
Mar Verde	PARCELA 25	L853	CROPS CANELA	1.520133333	1893.333333	15.96	19.28173136
Mar Verde	PARCELA 25	L853	CYFLUNIL	0.75	1000	2.28	19.28173136
Mar Verde	PARCELA 25	L853	DOGMA	0.5	800	2.28	19.28173136
Mar Verde	PARCELA 25	L853	EMACTIN 5% SG	0.80025	2000	4.56	19.28173136
Mar Verde	PARCELA 25	L853	EPINGLE 10 EC	2	2000	2.28	19.28173136
Mar Verde	PARCELA 25	L853	ESENFOL CaB ZINC	3	1000	2.28	19.28173136
Mar Verde	PARCELA 25	L853	FAST THRU	0.2638	1760.501	11.4	19.28173136
Mar Verde	PARCELA 25	L853	GF-120	1.6	1559.328889	5.7	19.28173136
Mar Verde	PARCELA 25	L853	GLADIADOR	1.9	1900	9.12	19.28173136
Mar Verde	PARCELA 25	L853	HIPOCLORITO SODIO 5%	0.074052632	1663.421579	20.52	19.28173136
Mar Verde	PARCELA 25	L853	KELPURA	3	600	2.28	19.28173136
Mar Verde	PARCELA 25	L853	KEYLATE BORO	2	1000	2.28	19.28173136
Mar Verde	PARCELA 25	L853	LICTHOR	4	100	6.84	19.28173136
Mar Verde	PARCELA 25	L853	MAXI COVER	0.20340625	1356.25	43.32	19.28173136
Mar Verde	PARCELA 25	L853	MICROCAT ZINC	0.6	1000	2.28	19.28173136
Mar Verde	PARCELA 25	L853	POTENSIL	2	2000.835	6.84	19.28173136
Mar Verde	PARCELA 25	L853	ROBUST 5 SC	3	600	2.28	19.28173136
Mar Verde	PARCELA 25	L853	ROXICOP	2	1000	2.28	19.28173136
Mar Verde	PARCELA 25	L853	TACHIGAREN	2	100	2.28	19.28173136
Mar Verde	PARCELA 25	L853	X-CYTE	1.2	880	6.84	19.28173136
Mar Verde	PARCELA 25	L854	ACAPROX	3	2000	2.15	16.3488635
Mar Verde	PARCELA 25	L854	ACARISIL 110 SC	0.601	2000	2.15	16.3488635
Mar Verde	PARCELA 25	L854	ACIDO FOSFORICO 85%	0.15	2000	2.15	16.3488635
Mar Verde	PARCELA 25	L854	ALGASIL	1	1600	6.45	16.3488635
Mar Verde	PARCELA 25	L854	AMINOTERRA	3	1000	2.15	16.3488635
Mar Verde	PARCELA 25	L854	ARGENFRUT	18	1800	2.15	16.3488635
Mar Verde	PARCELA 25	L854	BAMECTIN	1.500666667	2000	6.45	16.3488635
Mar Verde	PARCELA 25	L854	BIOIL-S/ENHANCE	20	2000	2.15	16.3488635
Mar Verde	PARCELA 25	L854	BONUM	0.675	900	4.3	16.3488635
Mar Verde	PARCELA 25	L854	BTK-CROPS	4	2000	2.15	16.3488635
Mar Verde	PARCELA 25	L854	CALCI-B	3	800	2.15	16.3488635
Mar Verde	PARCELA 25	L854	CHUNGAR	1.8	1800	2.15	16.3488635
Mar Verde	PARCELA 25	L854	CLOSER 240 SC	0.6	2000	2.15	16.3488635
Mar Verde	PARCELA 25	L854	CROPS CANELA	1.520133333	1893.333333	15.05	16.3488635
Mar Verde	PARCELA 25	L854	CYFLUNIL	0.75	1000	2.15	16.3488635
Mar Verde	PARCELA 25	L854	DOGMA	0.5	800	2.15	16.3488635
Mar Verde	PARCELA 25	L854	EMACTIN 5% SG	0.80025	2000	4.3	16.3488635
Mar Verde	PARCELA 25	L854	EPINGLE 10 EC	2	2000	2.15	16.3488635
Mar Verde	PARCELA 25	L854	ESENFOL CaB ZINC	3	1000	2.15	16.3488635
Mar Verde	PARCELA 25	L854	FAST THRU	0.2638	1760.501	10.75	16.3488635
Mar Verde	PARCELA 25	L854	GF-120	1.6	1559.328889	5.4	16.3488635
Mar Verde	PARCELA 25	L854	GLADIADOR	1.9	1900	8.6	16.3488635
Mar Verde	PARCELA 25	L854	HIPOCLORITO SODIO 5%	0.074052632	1663.421579	19.35	16.3488635
Mar Verde	PARCELA 25	L854	KELPURA	3	600	2.15	16.3488635
Mar Verde	PARCELA 25	L854	KEYLATE BORO	2	1000	2.15	16.3488635
Mar Verde	PARCELA 25	L854	LICTHOR	4	100	6.45	16.3488635
Mar Verde	PARCELA 25	L854	MAXI COVER	0.20340625	1356.25	40.85	16.3488635
Mar Verde	PARCELA 25	L854	MICROCAT ZINC	0.6	1000	2.15	16.3488635
Mar Verde	PARCELA 25	L854	POTENSIL	2	2000.835	6.45	16.3488635
Mar Verde	PARCELA 25	L854	ROBUST 5 SC	3	600	2.15	16.3488635
Mar Verde	PARCELA 25	L854	ROXICOP	2	1000	2.15	16.3488635
Mar Verde	PARCELA 25	L854	TACHIGAREN	2	100	2.15	16.3488635
Mar Verde	PARCELA 25	L854	X-CYTE	1.2	880	6.45	16.3488635
Mar Verde	PARCELA 25	L855	ACAPROX	3	2000	2.28	15.72346028
Mar Verde	PARCELA 25	L855	ACARISIL 110 SC	0.6005	2000	2.28	15.72346028
Mar Verde	PARCELA 25	L855	ACIDO FOSFORICO 85%	0.149666667	2000	2.28	15.72346028
Mar Verde	PARCELA 25	L855	ALG MARINA	3	800	0.14	15.72346028
Mar Verde	PARCELA 25	L855	ALGASIL	1	1800	6.7	15.72346028
Mar Verde	PARCELA 25	L855	AMINOTERRA	3	1000	2.28	15.72346028
Mar Verde	PARCELA 25	L855	ARGENFRUT	18	1800	2.28	15.72346028
